YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST,DEST_CITY_NAME,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2024,1,1,1,1/1/2024 0:00,AA,19805,1067,ORD,"Chicago, IL",IL,Illinois,AUS,"Austin, TX",Texas,1723,1721,-2,0,0,1952,-20,0,0,151,131,1,977,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1073,ORD,"Chicago, IL",IL,Illinois,STL,"St. Louis, MO",Missouri,2045,2042,-3,0,0,2141,-21,0,0,59,40,1,258,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1101,ORD,"Chicago, IL",IL,Illinois,TPA,"Tampa, FL",Florida,1324,1314,-10,0,0,1635,-25,0,0,141,125,1,1012,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1109,ORD,"Chicago, IL",IL,Illinois,DFW,"Dallas/Fort Worth, TX",Texas,1201,1156,-5,0,0,1400,-30,0,0,124,102,1,802,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1120,ORD,"Chicago, IL",IL,Illinois,MSP,"Minneapolis, MN",Minnesota,2100,2058,-2,0,0,2219,-7,0,0,81,61,1,334,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1121,ORD,"Chicago, IL",IL,Illinois,MCO,"Orlando, FL",Florida,0931,0929,-2,0,0,1302,-8,0,0,153,120,1,1005,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1159,ORD,"Chicago, IL",IL,Illinois,OMA,"Omaha, NE",Nebraska,2050,2043,-7,0,0,2200,-26,0,0,77,62,1,416,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1173,ORD,"Chicago, IL",IL,Illinois,PIT,"Pittsburgh, PA",Pennsylvania,1843,1836,-7,0,0,2113,0,0,0,97,64,1,413,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1179,ORD,"Chicago, IL",IL,Illinois,SNA,"Santa Ana, CA",California,1923,1918,-5,0,0,2119,-32,0,0,241,213,1,1726,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1203,ORD,"Chicago, IL",IL,Illinois,CLT,"Charlotte, NC",North Carolina,1825,1819,-6,0,0,2125,0,0,0,126,86,1,599,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1219,ORD,"Chicago, IL",IL,Illinois,ABQ,"Albuquerque, NM",New Mexico,1047,1039,-8,0,0,1230,-37,0,0,171,151,1,1118,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1247,ORD,"Chicago, IL",IL,Illinois,MCO,"Orlando, FL",Florida,1309,1304,-5,0,0,1638,-9,0,0,154,123,1,1005,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1253,ORD,"Chicago, IL",IL,Illinois,SFO,"San Francisco, CA",California,1415,1454,39,39,1,1707,-4,0,0,253,234,1,1846,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1277,ORD,"Chicago, IL",IL,Illinois,MIA,"Miami, FL",Florida,1854,1847,-7,0,0,2303,0,0,0,196,146,1,1197,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1315,ORD,"Chicago, IL",IL,Illinois,IAH,"Houston, TX",Texas,1320,1338,18,18,1,1608,3,3,0,150,128,1,925,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1359,ORD,"Chicago, IL",IL,Illinois,PHL,"Philadelphia, PA",Pennsylvania,1825,1815,-10,0,0,2110,-15,0,0,115,98,1,678,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1387,ORD,"Chicago, IL",IL,Illinois,DEN,"Denver, CO",Colorado,2036,2037,1,1,0,2229,7,7,0,172,120,1,888,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1398,ORD,"Chicago, IL",IL,Illinois,PBI,"West Palm Beach/Palm Beach, FL",Florida,1226,1222,-4,0,0,1615,-6,0,0,173,153,1,1144,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1411,ORD,"Chicago, IL",IL,Illinois,MIA,"Miami, FL",Florida,0650,0644,-6,0,0,1055,-1,0,0,191,154,1,1197,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1424,ORD,"Chicago, IL",IL,Illinois,FLL,"Fort Lauderdale, FL",Florida,0826,0823,-3,0,0,1217,-11,0,0,174,154,1,1182,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1456,ORD,"Chicago, IL",IL,Illinois,DTW,"Detroit, MI",Michigan,1500,1458,-2,0,0,1703,-11,0,0,65,46,1,235,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1501,ORD,"Chicago, IL",IL,Illinois,BZN,"Bozeman, MT",Montana,1015,1019,4,4,0,1213,-26,0,0,174,161,1,1185,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1543,ORD,"Chicago, IL",IL,Illinois,SAN,"San Diego, CA",California,1650,1654,4,4,0,1853,-21,0,0,239,220,1,1723,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1559,ORD,"Chicago, IL",IL,Illinois,DFW,"Dallas/Fort Worth, TX",Texas,1851,1848,-3,0,0,2111,-22,0,0,143,113,1,802,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1608,ORD,"Chicago, IL",IL,Illinois,STL,"St. Louis, MO",Missouri,1514,1511,-3,0,0,1634,8,8,0,83,41,1,258,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1637,ORD,"Chicago, IL",IL,Illinois,DCA,"Washington, DC",Virginia,1341,1349,8,8,0,1634,7,7,0,105,90,1,612,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1647,ORD,"Chicago, IL",IL,Illinois,DEN,"Denver, CO",Colorado,0830,0823,-7,0,0,0945,-29,0,0,142,122,1,888,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1674,ORD,"Chicago, IL",IL,Illinois,DFW,"Dallas/Fort Worth, TX",Texas,1516,1514,-2,0,0,1731,-14,0,0,137,106,1,802,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1761,ORD,"Chicago, IL",IL,Illinois,EGE,"Eagle, CO",Colorado,0959,0951,-8,0,0,1222,28,28,1,211,136,1,1007,0,0,28,0,0
2024,1,1,1,1/1/2024 0:00,AA,19805,1762,ORD,"Chicago, IL",IL,Illinois,BOS,"Boston, MA",Massachusetts,1320,1353,33,33,1,1711,42,42,1,138,117,1,867,23,0,9,0,10
2024,1,1,1,1/1/2024 0:00,AA,19805,1763,ORD,"Chicago, IL",IL,Illinois,SAT,"San Antonio, TX",Texas,1005,1020,15,15,1,1257,-7,0,0,157,142,1,1041,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1784,ORD,"Chicago, IL",IL,Illinois,CLT,"Charlotte, NC",North Carolina,0700,0656,-4,0,0,0939,-17,0,0,103,88,1,599,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1831,ORD,"Chicago, IL",IL,Illinois,PBI,"West Palm Beach/Palm Beach, FL",Florida,0835,0837,2,2,0,1224,-12,0,0,167,142,1,1144,,,,,
2024,1,1,1,1/1/2024 0:00,AA,19805,1862,ORD,"Chicago, IL",IL,Illinois,LAS,"Las Vegas, NV",Nevada,1045,1043,-2,0,0,1223,-27,0,0,220,194,1,1514,,,,,
